event_id,event_date,tw_event_trade_date,decision_type,rate_change_bp,policy_tone,index_name,window,return_rate,benchmark_return,excess_return,event_source,price_source,benchmark_source
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Electronics,3,0.0432838285924817,0.03657022707860236,0.0067136015138793415,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Electronics,5,0.05225312210181299,0.04666477380388079,0.0055883482979322,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Electronics,10,0.055696009553695136,0.04720725017605387,0.008488759377641264,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Financials,1,0.017645521582529522,0.029950716700421376,-0.012305195117891854,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Financials,3,0.028166933678744677,0.03657022707860236,-0.008403293399857681,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Financials,5,0.05272068264194241,0.04666477380388079,0.006055908838061619,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Financials,10,0.05688493483769075,0.04720725017605387,0.009677684661636876,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Shipping,1,0.037604301872798285,0.029950716700421376,0.007653585172376909,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Shipping,3,0.021064342666419433,0.03657022707860236,-0.015505884412182924,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
E20220316,2022-03-16,2022-03-17,hike,25,tightening,Shipping,5,0.014166512145373789,0.04666477380388079,-0.032498261658507,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220317&type=IND,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220301
