date,index_name,close,source
2022-05-04,Construction,371.96,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220504&type=IND
2022-05-04,Electronics,752.82,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220504&type=IND
2022-05-04,Financials,1810.54,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220504&type=IND
2022-05-04,Shipping,278.15,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220504&type=IND
2022-05-04,TAIEX,16565.83,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
2022-05-05,Construction,375.01,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND
2022-05-05,Electronics,762.55,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND
2022-05-05,Financials,1792.12,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND
2022-05-05,Shipping,280.78,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220505&type=IND
2022-05-05,TAIEX,16696.12,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
2022-05-06,Construction,371.66,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220506&type=IND
2022-05-06,Electronics,747.08,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220506&type=IND
2022-05-06,Financials,1762.27,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220506&type=IND
2022-05-06,Shipping,281.4,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220506&type=IND
2022-05-06,TAIEX,16408.2,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
2022-05-09,Construction,364.25,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220509&type=IND
2022-05-09,Electronics,734.22,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220509&type=IND
2022-05-09,Financials,1701.3,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220509&type=IND
2022-05-09,Shipping,271.47,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220509&type=IND
2022-05-09,TAIEX,16048.92,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
2022-05-10,Construction,364.55,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220510&type=IND
2022-05-10,Electronics,735.54,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220510&type=IND
2022-05-10,Financials,1699.14,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220510&type=IND
2022-05-10,Shipping,275.1,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220510&type=IND
2022-05-10,TAIEX,16061.7,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
2022-05-11,Construction,363.09,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220511&type=IND
2022-05-11,Electronics,736.03,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220511&type=IND
2022-05-11,Financials,1682.68,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220511&type=IND
2022-05-11,Shipping,268.82,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220511&type=IND
2022-05-11,TAIEX,16006.25,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
2022-05-12,Construction,355.64,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220512&type=IND
2022-05-12,Electronics,720.44,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220512&type=IND
2022-05-12,Financials,1626.45,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220512&type=IND
2022-05-12,Shipping,257.78,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220512&type=IND
2022-05-12,TAIEX,15616.68,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
2022-05-13,Construction,360.9,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220513&type=IND
2022-05-13,Electronics,731.1,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220513&type=IND
2022-05-13,Financials,1632.73,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220513&type=IND
2022-05-13,Shipping,264.49,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220513&type=IND
2022-05-13,TAIEX,15832.54,https://www.twse.com.tw/indicesReport/MI_5MINS_HIST?response=json&date=20220501
2022-05-16,Construction,360.51,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220516&type=IND
2022-05-16,Electronics,737.78,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220516&type=IND
2022-05-16,Financials,1622.98,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220516&type=IND
2022-05-16,Shipping,258.03,https://www.twse.com.tw/exchangeReport/MI_INDEX?response=json&date=20220516&type=IND
